,Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
11969,3913.0,Java,Java,Elasticsearch,Elasticsearch,Google Cloud Platform,Google Cloud Platform,Express,Express,Atom
11970,3913.0,JavaScript,JavaScript,Firebase,Microsoft SQL Server,Slack,Kubernetes,Flask,jQuery,Eclipse
11971,3913.0,PHP,Kotlin,MariaDB,MySQL,Windows,Slack,jQuery,React.js,IntelliJ
11972,3913.0,TypeScript,PHP,Microsoft SQL Server,Redis,WordPress,Windows,Laravel,Spring,Notepad++
11992,3919.0,C#,C#,MariaDB,Microsoft SQL Server,Linux,Android,ASP.NET,ASP.NET,Eclipse
11993,3919.0,HTML/CSS,Go,Microsoft SQL Server,Redis,MacOS,Linux,jQuery,React.js,Notepad++
12011,3924.0,Go,Elixir,Elasticsearch,Cassandra,Google Cloud Platform,Google Cloud Platform,Django,Vue.js,Visual Studio Code
12017,3928.0,Elixir,Elixir,Elasticsearch,Cassandra,Docker,Docker,Other(s):,React.js,IntelliJ
12024,3930.0,Ruby,Ruby,Elasticsearch,Elasticsearch,AWS,AWS,Ruby on Rails,Ruby on Rails,Vim
12036,3933.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,Linux,AWS,jQuery,Angular/Angular.js,Eclipse
12037,3933.0,Java,Java,MySQL,MySQL,MacOS,Docker,Spring,jQuery,Komodo
12041,3937.0,Assembly,Erlang,MongoDB,MongoDB,Android,Arduino,Django,Angular/Angular.js,IPython / Jupyter
12042,3937.0,C,JavaScript,MySQL,MySQL,Arduino,AWS,Express,Django,Visual Studio Code
12058,3940.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,iOS,Android,Laravel,Express,Notepad++
12065,3941.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,Google Cloud Platform,Docker,Ruby on Rails,Flask,Emacs
12070,3942.0,Bash/Shell/PowerShell,Go,Elasticsearch,Elasticsearch,Docker,Docker,Spring,Angular/Angular.js,Eclipse
12076,3943.0,HTML/CSS,Python,Microsoft SQL Server,Other(s):,Google Cloud Platform,Google Cloud Platform,Django,Django,Atom
12086,3946.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
12087,3946.0,C#,C++,Elasticsearch,MySQL,Docker,Docker,Spring,React.js,IntelliJ
12097,3950.0,C++,C++,Microsoft SQL Server,MySQL,Android,Android,ASP.NET,ASP.NET,Android Studio
12102,3953.0,HTML/CSS,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,AWS,React.js,ASP.NET,Visual Studio
12107,3954.0,Assembly,Clojure,Couchbase,Elasticsearch,Android,Android,Angular/Angular.js,Express,Visual Studio Code
12120,3957.0,C#,C#,Couchbase,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
12121,3957.0,HTML/CSS,HTML/CSS,Elasticsearch,Microsoft SQL Server,Docker,Docker,ASP.NET,ASP.NET,Visual Studio Code
12128,3959.0,JavaScript,C#,Microsoft SQL Server,Firebase,AWS,AWS,Express,ASP.NET,Sublime Text
12137,3973.0,Bash/Shell/PowerShell,HTML/CSS,MariaDB,PostgreSQL,Linux,Android,Express,React.js,IntelliJ
12146,3976.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,React.js,RubyMine
12147,3976.0,F#,Elixir,MySQL,MySQL,Docker,Docker,ASP.NET,Ruby on Rails,Visual Studio Code
12160,3979.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Windows,Android,Express,Laravel,Android Studio
12161,3979.0,C,C,Oracle,PostgreSQL,WordPress,Arduino,Laravel,React.js,Eclipse
12178,3981.0,Assembly,Swift,DynamoDB,Firebase,Android,WordPress,Angular/Angular.js,React.js,Android Studio
12189,3986.0,C#,C#,Elasticsearch,MongoDB,AWS,Docker,Angular/Angular.js,Angular/Angular.js,Notepad++
12197,3992.0,HTML/CSS,Assembly,Oracle,Couchbase,MacOS,Android,Angular/Angular.js,Angular/Angular.js,Atom
12217,3993.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,PostgreSQL,Docker,Docker,ASP.NET,Django,Vim
12225,3995.0,C#,C#,MongoDB,Couchbase,AWS,Microsoft Azure,ASP.NET,ASP.NET,Visual Studio
12226,3995.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,Windows,Windows,jQuery,Vue.js,Visual Studio Code
12240,3998.0,Bash/Shell/PowerShell,Python,Microsoft SQL Server,Microsoft SQL Server,Google Cloud Platform,AWS,Django,Django,Notepad++
12248,4002.0,Bash/Shell/PowerShell,Elixir,Firebase,Firebase,Docker,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
12254,4005.0,HTML/CSS,Erlang,MySQL,Cassandra,AWS,Android,Spring,Angular/Angular.js,Eclipse
12263,4006.0,Bash/Shell/PowerShell,Go,Other(s):,Elasticsearch,Windows,AWS,Spring,Spring,Eclipse
12280,4011.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,Angular/Angular.js,jQuery,Android Studio
12287,4012.0,Java,C++,Couchbase,PostgreSQL,Docker,Docker,Express,Vue.js,IntelliJ
12291,4013.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Firebase,Docker,Android,Angular/Angular.js,ASP.NET,Visual Studio
12292,4013.0,C#,C#,PostgreSQL,MongoDB,Linux,Docker,ASP.NET,React.js,Visual Studio Code
12298,4015.0,Bash/Shell/PowerShell,Java,DynamoDB,Cassandra,AWS,Android,Spring,Spring,Android Studio
12307,4016.0,Java,Java,MariaDB,MariaDB,Linux,AWS,Spring,Angular/Angular.js,Atom
12313,4017.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Elasticsearch,Android,Android,jQuery,jQuery,Android Studio
12328,4020.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,React.js,React.js,Visual Studio Code
12346,4025.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,MariaDB,AWS,Docker,Django,Express,Emacs
12347,4025.0,C,C,MariaDB,MySQL,Docker,Linux,Express,Flask,IPython / Jupyter
12356,4026.0,Bash/Shell/PowerShell,Go,Elasticsearch,Cassandra,AWS,Arduino,Express,Ruby on Rails,Emacs
12357,4026.0,C,Ruby,MongoDB,PostgreSQL,Docker,Kubernetes,Ruby on Rails,Vue.js,Vim
12368,4027.0,Dart,Dart,Cassandra,Cassandra,Android,Android,Express,Express,Android Studio
12369,4027.0,Go,Go,Elasticsearch,DynamoDB,Docker,Docker,React.js,React.js,IntelliJ
12375,4028.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Angular/Angular.js,Eclipse
12376,4028.0,C,C,MySQL,MySQL,Docker,Arduino,jQuery,jQuery,IntelliJ
12377,4028.0,C#,HTML/CSS,PostgreSQL,PostgreSQL,Kubernetes,Docker,Spring,Spring,Vim
12387,4030.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
12388,4030.0,HTML/CSS,HTML/CSS,Firebase,Firebase,Raspberry Pi,Docker,Express,Express,PyCharm
12389,4030.0,JavaScript,JavaScript,MariaDB,MariaDB,Slack,Google Cloud Platform,jQuery,React.js,Vim
12394,4033.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Windows,ASP.NET,ASP.NET,Notepad++
12400,4034.0,C,C,PostgreSQL,PostgreSQL,AWS,AWS,Django,Django,Atom
12401,4034.0,HTML/CSS,C++,SQLite,SQLite,Heroku,Heroku,Flask,Flask,PyCharm
12408,4035.0,C#,C++,Microsoft SQL Server,MongoDB,Linux,Docker,ASP.NET,Flask,Sublime Text
12409,4035.0,Dart,C#,SQLite,MySQL,Windows,Linux,jQuery,Vue.js,Vim
12414,4038.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Notepad++
12420,4039.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,Docker,Docker,Express,Express,IntelliJ
12421,4039.0,C#,HTML/CSS,Elasticsearch,MariaDB,Kubernetes,Kubernetes,jQuery,jQuery,PHPStorm
12422,4039.0,HTML/CSS,JavaScript,MariaDB,MySQL,Linux,Linux,Vue.js,Vue.js,PyCharm
12445,4045.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Microsoft Azure,Docker,ASP.NET,ASP.NET,IPython / Jupyter
12446,4045.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Microsoft Azure,jQuery,jQuery,Notepad++
12454,4046.0,JavaScript,JavaScript,MySQL,MySQL,AWS,AWS,Vue.js,Vue.js,IntelliJ
12466,4048.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Notepad++
12470,4055.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Arduino,Arduino,ASP.NET,ASP.NET,Notepad++
12477,4057.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
12478,4057.0,C,Dart,MongoDB,MongoDB,AWS,AWS,Laravel,Laravel,Atom
12479,4057.0,HTML/CSS,Go,MySQL,MySQL,Google Cloud Platform,Docker,React.js,React.js,Sublime Text
12487,4058.0,HTML/CSS,Bash/Shell/PowerShell,MySQL,MongoDB,AWS,AWS,Angular/Angular.js,Django,Atom
12496,4061.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,AWS,Microsoft Azure,Angular/Angular.js,ASP.NET,Visual Studio
12502,4063.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Cassandra,Microsoft Azure,Docker,ASP.NET,Angular/Angular.js,Notepad++
12503,4063.0,C++,HTML/CSS,MySQL,MongoDB,Windows,Kubernetes,jQuery,ASP.NET,Visual Studio
12516,4068.0,C#,C#,MongoDB,Elasticsearch,Microsoft Azure,Android,Angular/Angular.js,Angular/Angular.js,Sublime Text
12517,4068.0,JavaScript,JavaScript,Microsoft SQL Server,Firebase,Windows,Google Cloud Platform,ASP.NET,jQuery,Visual Studio
12521,4069.0,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,MongoDB,Android,Android,jQuery,Angular/Angular.js,Android Studio
12522,4069.0,HTML/CSS,Java,MySQL,MySQL,Windows,Raspberry Pi,Spring,React.js,Eclipse
12527,4072.0,Assembly,Bash/Shell/PowerShell,DynamoDB,Cassandra,Android,AWS,Express,Express,Android Studio
12528,4072.0,Bash/Shell/PowerShell,C,Firebase,DynamoDB,Arduino,Docker,jQuery,jQuery,Atom
12537,4073.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,DynamoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Sublime Text
12545,4074.0,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,MySQL,AWS,Linux,jQuery,Laravel,PHPStorm
12550,4075.0,Bash/Shell/PowerShell,Elixir,Firebase,PostgreSQL,AWS,AWS,Django,Django,IntelliJ
12551,4075.0,Erlang,Erlang,PostgreSQL,Other(s):,Docker,Docker,Express,Ruby on Rails,PyCharm
12559,4079.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
12560,4079.0,C#,C#,MariaDB,Couchbase,AWS,AWS,ASP.NET,ASP.NET,Visual Studio Code
12571,4080.0,HTML/CSS,Java,Elasticsearch,Elasticsearch,Windows,Windows,Spring,React.js,Eclipse
12575,4082.0,Java,Go,MongoDB,Elasticsearch,AWS,AWS,Express,Express,IntelliJ
12576,4082.0,JavaScript,Java,MySQL,MongoDB,Docker,Docker,Spring,React.js,Visual Studio Code
12580,4083.0,C#,C#,MongoDB,MongoDB,Android,Android,Django,Django,IntelliJ
12581,4083.0,Go,Go,Microsoft SQL Server,Microsoft SQL Server,Windows,AWS,Flask,Flask,PHPStorm
12585,4086.0,C,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,ASP.NET,Angular/Angular.js,Notepad++
12593,4090.0,HTML/CSS,HTML/CSS,MariaDB,MariaDB,AWS,AWS,jQuery,jQuery,PHPStorm
12603,4094.0,C#,Java,Microsoft SQL Server,Firebase,MacOS,Android,ASP.NET,React.js,Atom
12608,4099.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Elasticsearch,AWS,Google Cloud Platform,Angular/Angular.js,Angular/Angular.js,Atom
12609,4099.0,C,C#,Microsoft SQL Server,Firebase,Docker,MacOS,ASP.NET,ASP.NET,NetBeans
12610,4099.0,C++,Elixir,MySQL,MongoDB,Google Cloud Platform,Microsoft Azure,Express,Django,Sublime Text
12611,4099.0,C#,Erlang,Oracle,PostgreSQL,Microsoft Azure,WordPress,jQuery,Drupal,Visual Studio
12634,4104.0,C#,C#,Microsoft SQL Server,Couchbase,Linux,Docker,Angular/Angular.js,Angular/Angular.js,Notepad++
12640,4108.0,C#,C#,MySQL,SQLite,Windows,Windows,React.js,Vue.js,Visual Studio
12644,4110.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,MongoDB,Docker,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
12645,4110.0,C#,C#,MariaDB,Redis,Kubernetes,Docker,jQuery,jQuery,Visual Studio
12651,4112.0,HTML/CSS,Go,PostgreSQL,MySQL,AWS,Google Cloud Platform,Express,Vue.js,Sublime Text
12655,4114.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Cassandra,Docker,Docker,ASP.NET,Angular/Angular.js,Notepad++
12669,4115.0,Python,Python,Elasticsearch,Cassandra,Arduino,Arduino,Flask,Flask,IPython / Jupyter
12673,4117.0,C#,C#,Elasticsearch,Elasticsearch,Docker,Docker,ASP.NET,ASP.NET,Notepad++
12674,4117.0,Erlang,F#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,jQuery,React.js,Visual Studio
12680,4122.0,Java,Java,MySQL,MySQL,Android,Android,jQuery,jQuery,Android Studio
12684,4123.0,C#,C#,Microsoft SQL Server,DynamoDB,Windows,Docker,Angular/Angular.js,Angular/Angular.js,IPython / Jupyter
12691,4124.0,Java,Java,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
12700,4126.0,C#,C#,Cassandra,MongoDB,Android,AWS,Angular/Angular.js,Angular/Angular.js,Atom
12713,4128.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,AWS,Android,ASP.NET,Express,Sublime Text
12714,4128.0,C#,C#,MySQL,MySQL,Docker,AWS,Express,React.js,Visual Studio
12715,4128.0,HTML/CSS,HTML/CSS,SQLite,SQLite,Linux,Docker,React.js,Ruby on Rails,Visual Studio Code
12721,4131.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Cassandra,MacOS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
12722,4131.0,HTML/CSS,HTML/CSS,MySQL,MongoDB,Slack,Google Cloud Platform,jQuery,jQuery,Notepad++
12723,4131.0,Java,Java,Oracle,MySQL,Windows,iOS,Spring,Spring,Sublime Text
12729,4138.0,Assembly,HTML/CSS,MongoDB,MySQL,Android,Windows,ASP.NET,Angular/Angular.js,Eclipse
12735,4139.0,C,C,MariaDB,Oracle,Android,Android,Django,Django,Android Studio
12736,4139.0,C++,C++,Microsoft SQL Server,PostgreSQL,Google Cloud Platform,Docker,Express,Express,Eclipse
12737,4139.0,HTML/CSS,HTML/CSS,MySQL,SQLite,Linux,Google Cloud Platform,jQuery,jQuery,NetBeans
12750,4141.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,Microsoft SQL Server,Linux,Linux,Spring,ASP.NET,IntelliJ
12755,4142.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
12776,4153.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Visual Studio
12792,4158.0,Bash/Shell/PowerShell,Dart,DynamoDB,PostgreSQL,AWS,Docker,Flask,Vue.js,IntelliJ
12797,4162.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MySQL,Heroku,Heroku,ASP.NET,ASP.NET,Notepad++
12798,4162.0,C,C,MySQL,PostgreSQL,Linux,Linux,jQuery,jQuery,Vim
12807,4164.0,C#,C#,Microsoft SQL Server,Couchbase,Docker,Docker,ASP.NET,ASP.NET,Sublime Text
12819,4166.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Android,Android,Express,Express,Android Studio
12823,4169.0,Go,HTML/CSS,Elasticsearch,Elasticsearch,AWS,AWS,React.js,React.js,Atom
12824,4169.0,HTML/CSS,JavaScript,MongoDB,PostgreSQL,Docker,Docker,Ruby on Rails,Ruby on Rails,RubyMine
12828,4170.0,Java,Java,Elasticsearch,Cassandra,AWS,AWS,Spring,Spring,Eclipse
12839,4178.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Arduino,Arduino,Flask,Flask,IntelliJ
12845,4180.0,Bash/Shell/PowerShell,Elixir,Elasticsearch,Firebase,Android,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
12853,4181.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Heroku,Heroku,ASP.NET,ASP.NET,Atom
12854,4181.0,HTML/CSS,HTML/CSS,MySQL,MySQL,Windows,Windows,jQuery,jQuery,Notepad++
12868,4185.0,Bash/Shell/PowerShell,C#,MongoDB,Cassandra,Android,AWS,ASP.NET,Express,Notepad++
12869,4185.0,C#,Go,Microsoft SQL Server,Elasticsearch,AWS,Docker,Express,React.js,Visual Studio
12896,4194.0,Java,Go,MySQL,Cassandra,Android,Android,Spring,Flask,Android Studio
12911,4198.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Couchbase,AWS,AWS,Angular/Angular.js,Express,Sublime Text
12912,4198.0,HTML/CSS,HTML/CSS,Microsoft SQL Server,PostgreSQL,Docker,Docker,Express,jQuery,Vim
12917,4200.0,C,Go,MongoDB,Firebase,Linux,Arduino,Angular/Angular.js,Vue.js,Notepad++
12924,4202.0,HTML/CSS,HTML/CSS,MySQL,MongoDB,AWS,AWS,jQuery,Laravel,IntelliJ
12925,4202.0,JavaScript,JavaScript,Redis,MySQL,Linux,Linux,Laravel,React.js,PHPStorm
12928,4209.0,HTML/CSS,Clojure,Elasticsearch,Elasticsearch,Android,Android,Express,Express,Android Studio
12929,4209.0,JavaScript,HTML/CSS,MySQL,MySQL,iOS,iOS,React.js,React.js,Visual Studio Code
12934,4213.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,ASP.NET,Express,Android Studio
12935,4213.0,C,C,SQLite,SQLite,iOS,AWS,Express,React.js,Notepad++
12953,4214.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Linux,Angular/Angular.js,React.js,Sublime Text
12958,4215.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,Cassandra,Linux,Android,jQuery,ASP.NET,PyCharm
12972,4225.0,C++,C++,MySQL,MongoDB,MacOS,Android,ASP.NET,jQuery,Notepad++
12996,4228.0,HTML/CSS,HTML/CSS,MySQL,MySQL,AWS,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
13001,4229.0,Bash/Shell/PowerShell,Elixir,Elasticsearch,PostgreSQL,AWS,AWS,Angular/Angular.js,Django,Vim
13002,4229.0,HTML/CSS,JavaScript,PostgreSQL,Redis,Google Cloud Platform,Google Cloud Platform,Django,Vue.js,Visual Studio Code
13016,4238.0,Go,JavaScript,PostgreSQL,PostgreSQL,Docker,Docker,Express,Express,Sublime Text
13017,4238.0,HTML/CSS,Python,SQLite,SQLite,Linux,Linux,jQuery,jQuery,Visual Studio Code
13029,4242.0,HTML/CSS,C#,MongoDB,PostgreSQL,Docker,Docker,jQuery,React.js,IntelliJ
13030,4242.0,JavaScript,HTML/CSS,PostgreSQL,Redis,Raspberry Pi,Raspberry Pi,React.js,Vue.js,Visual Studio Code
13035,4243.0,C++,Java,DynamoDB,Firebase,Android,Android,Flask,Flask,Android Studio
13046,4246.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Windows,Android,ASP.NET,ASP.NET,Notepad++
13047,4246.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,WordPress,Windows,jQuery,jQuery,Visual Studio
13052,4251.0,C,Rust,MariaDB,PostgreSQL,Docker,AWS,jQuery,jQuery,Vim
13058,4255.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,AWS,AWS,Django,Express,Emacs
13061,4259.0,C++,HTML/CSS,MongoDB,MongoDB,Linux,AWS,Express,Express,Sublime Text
13062,4259.0,HTML/CSS,JavaScript,MySQL,MySQL,Raspberry Pi,Google Cloud Platform,jQuery,Ruby on Rails,Vim
13068,4262.0,HTML/CSS,HTML/CSS,Oracle,DynamoDB,Raspberry Pi,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
13074,4263.0,Assembly,Bash/Shell/PowerShell,Microsoft SQL Server,MySQL,Android,Android,Django,Django,Atom
13075,4263.0,Bash/Shell/PowerShell,HTML/CSS,MySQL,Oracle,Docker,Linux,Flask,Flask,Eclipse
13091,4266.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Cassandra,AWS,Arduino,Angular/Angular.js,Express,Emacs
13092,4266.0,C#,Java,MariaDB,Elasticsearch,Docker,AWS,Express,jQuery,IntelliJ
13093,4266.0,HTML/CSS,JavaScript,MongoDB,MariaDB,Google Cloud Platform,Docker,jQuery,Spring,IPython / Jupyter
13103,4269.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET,ASP.NET,Visual Studio
13107,4272.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,Android,Android,Angular/Angular.js,Other(s):,Android Studio
13114,4273.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,PostgreSQL,Docker,Docker,React.js,React.js,Atom
13120,4274.0,HTML/CSS,Clojure,MongoDB,MongoDB,AWS,AWS,Angular/Angular.js,Express,IntelliJ
13135,4284.0,C#,Go,MongoDB,PostgreSQL,Docker,Docker,Angular/Angular.js,React.js,PHPStorm
13136,4284.0,HTML/CSS,Java,MySQL,Redis,Linux,Linux,Laravel,Spring,Visual Studio
13160,4299.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,AWS,AWS,Ruby on Rails,React.js,Atom
13169,4303.0,Bash/Shell/PowerShell,Dart,Elasticsearch,Elasticsearch,AWS,AWS,Express,Express,IntelliJ
13170,4303.0,Java,Go,Firebase,Firebase,Docker,Docker,React.js,React.js,Sublime Text
13177,4304.0,Java,Go,MySQL,Cassandra,AWS,AWS,Spring,Express,IntelliJ
13183,4305.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Other(s):,Arduino,Android,ASP.NET,Angular/Angular.js,Visual Studio
13190,4311.0,C#,C#,MongoDB,MongoDB,AWS,AWS,Vue.js,Vue.js,Visual Studio
13195,4321.0,Bash/Shell/PowerShell,Java,Elasticsearch,Elasticsearch,AWS,AWS,jQuery,React.js,Eclipse
13196,4321.0,HTML/CSS,JavaScript,MariaDB,MariaDB,Docker,Heroku,React.js,Spring,Sublime Text
13204,4324.0,HTML/CSS,Go,MariaDB,Elasticsearch,Arduino,Arduino,Angular/Angular.js,Laravel,NetBeans
13205,4324.0,JavaScript,HTML/CSS,Microsoft SQL Server,Firebase,Linux,Docker,jQuery,React.js,Notepad++
13206,4324.0,PHP,JavaScript,MySQL,MariaDB,Raspberry Pi,iOS,Laravel,Vue.js,Vim
13212,4325.0,C++,C#,DynamoDB,Firebase,Arduino,Arduino,Angular/Angular.js,Angular/Angular.js,Notepad++
13213,4325.0,C#,HTML/CSS,Firebase,MongoDB,AWS,Docker,Express,Express,Visual Studio Code
13218,4326.0,Assembly,C++,MongoDB,MongoDB,Android,Docker,Angular/Angular.js,Angular/Angular.js,Android Studio
13219,4326.0,C,C#,Microsoft SQL Server,Microsoft SQL Server,Docker,Heroku,ASP.NET,React.js,IntelliJ
13220,4326.0,C++,HTML/CSS,MySQL,MySQL,Heroku,Windows,Django,Spring,Sublime Text
13232,4329.0,Bash/Shell/PowerShell,Ruby,Cassandra,PostgreSQL,AWS,MacOS,Angular/Angular.js,Angular/Angular.js,Notepad++
13233,4329.0,JavaScript,SQL,Microsoft SQL Server,SQLite,Docker,Windows,Express,Ruby on Rails,RubyMine
13238,4330.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,MongoDB,Docker,AWS,ASP.NET,ASP.NET,IntelliJ
13239,4330.0,C#,F#,Redis,Redis,Kubernetes,Docker,React.js,React.js,Notepad++
13244,4332.0,Bash/Shell/PowerShell,C++,Elasticsearch,Redis,Android,Arduino,Angular/Angular.js,Flask,Emacs
13257,4333.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MongoDB,Heroku,Android,Angular/Angular.js,React.js,IntelliJ
13264,4334.0,Go,Clojure,Elasticsearch,DynamoDB,AWS,AWS,Django,Express,IntelliJ
13278,4338.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,MongoDB,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio
13279,4338.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Linux,Linux,ASP.NET,ASP.NET,Visual Studio Code
13285,4339.0,JavaScript,Elixir,MySQL,PostgreSQL,AWS,Google Cloud Platform,Ruby on Rails,Ruby on Rails,Vim
13288,4340.0,HTML/CSS,Go,MongoDB,Cassandra,Linux,AWS,jQuery,React.js,Atom
13289,4340.0,Java,Java,Oracle,DynamoDB,MacOS,Docker,React.js,Spring,Eclipse
13297,4341.0,HTML/CSS,Go,Firebase,Firebase,AWS,Docker,jQuery,React.js,IntelliJ
13298,4341.0,Java,Java,MySQL,MongoDB,MacOS,Google Cloud Platform,React.js,Spring,Visual Studio Code
13307,4350.0,C,C,MySQL,MongoDB,Android,Android,Django,Angular/Angular.js,Android Studio
13315,4351.0,Java,Go,Oracle,Cassandra,Docker,AWS,Spring,Django,IntelliJ
13321,4352.0,HTML/CSS,Bash/Shell/PowerShell,MySQL,PostgreSQL,MacOS,Linux,Ruby on Rails,ASP.NET,Sublime Text
13331,4358.0,HTML/CSS,HTML/CSS,MongoDB,Firebase,Heroku,Android,Ruby on Rails,Angular/Angular.js,Sublime Text
13338,4359.0,Bash/Shell/PowerShell,C#,Elasticsearch,Elasticsearch,Kubernetes,Kubernetes,ASP.NET,ASP.NET,IntelliJ
13352,4366.0,HTML/CSS,HTML/CSS,Firebase,Elasticsearch,Android,AWS,Django,Django,IPython / Jupyter
13353,4366.0,JavaScript,JavaScript,PostgreSQL,PostgreSQL,AWS,Docker,React.js,React.js,Visual Studio Code
13356,4367.0,HTML/CSS,Python,MariaDB,Elasticsearch,Linux,Docker,jQuery,Django,Sublime Text
